id,compound_name,group,formula,organic,inorganic,last_update,description,iupac
119,"N, N′-dimethylethylenediamine lead chloride",,C4H14N2PbCl4,C4H14N2,"PbCl4, Lead chloride",2022-01-06,,"N, N′-dimethylethylenediaminium lead chloride"
120,"tetrakis(N,N′-dimethylethylene-1,2-diammonium-bromo) tin bromide iodide",,(C16H52N8Br4SnBr3I3,C4H14N2Br,"SnBr3I3, Tin bromide iodide",2022-01-06,,"tetrakis(N,N′-dimethylethylene-1,2-diaminium-bromo) tin bromide iodide"
121,"1,4-phenyldiammonium lead iodide dihydrate",H3NC6H4NH3PbI4-2H2O,C6H10N2PbI4-2H2O,C6H10N2,"PbI4, Lead iodide",2022-01-06,,"1,4-phenyldiaminium lead iodide dihydrate"
122,"bis­(3,5-dimethyl­anilinium) lead iodide",(C6H3NH3(CH3)2)2PbI4,C16H24N2PbI4,C8H12N,"PbI4, Lead iodide",2022-01-06,,"bis­(3,5-dimethyl­anilinium) lead iodide"
123,Diiodoformamidinium bis(methylammonium) tin iodide,[NH2C(I)=NH2]2(CH3NH3)2Sn2I8,C4H20I2N5Sn2I8,"CH4IN2, CH6N","Sn2I8, Tin iodide",2022-01-06,,diiododiaminomethanide bis(methanaminium)
124,Diiodoformamidinium tris(methylammonium) tin iodide,[NH2C(I)=NH2]2(CH3NH3)3Sn3I11,C5H26I2N7Sn3I11,"CH4IN2, CH6N","Sn3I11, Tin iodide",2022-01-06,,diiododiaminomethanide tris(methanaminium)
125,Diiodoformamidinium tetrakis(methylammonium) tin iodide,[NH2C(I)=NH2]2(CH3NH3)4Sn4I14,C6H32I2N8Sn4I14,"CH4IN2, CH6N","Sn4I14, Tin iodide",2022-01-06,,diiododiaminomethanide tetrakis(methanaminium)
126,bis(phenylethylammonium) bis(methylammonium) lead iodide,"(C6H5(CH2)2NH3)2(CH3NH3)2Pb3I10, (PEA)2(MA)2Pb3I10",C18H36N4Pb3I10,"C8H12N, CH6N","Pb3I10, Lead iodide",2022-01-06,,bis(2-phenylethanaminium) bismethanaminium lead iodide
127,Bis(phenylammonium) cadmium bromide,(C6H11NH3)2CdBr4,C12H28N2CdBr4,C6H14N,"CdBr4, Cadmium bromide",2022-01-06,,bis(phenylaminium) cadmium bromide
128,"2-methyl-1,5-diaminopentane lead bromide",(2meptH2)PbBr4,C6H18N2PbBr4,C6H18N2,"PbBr4, Lead bromide",2022-01-06,,2-methyl-5-aminopentane-1-aminium lead bromide
129,bis(1-Dodecylammonium) lead iodide,(C12H25NH3)2PbI4,C24H56N2PbI4,C12H28N,"PbI4, Lead iodide",2022-01-06,,bis(dodecane-1-aminium) lead iodide
130,bis(1-tetradecylammonium) lead iodide,(C14H29NH3)2PbI4,C28H64N2PbI4,C14H32N,"PbI4, Lead iodide",2022-01-06,,bis(tetradecane-1-aminium) lead iodide
131,bis(1-hexadecylammonium) lead iodide,(C16H33NH3)2PbI4,C32H72N2PbI4,C16H36N,"PbI4, Lead iodide",2022-01-06,,bis(hexadecane-1-aminium) lead iodide
132,bis(1-octadecylammonium) lead iodide,(C18H37NH3)2[PbI4],C36H80N2PbI4,C18H40N,"PbI4, Lead iodide",2022-01-06,,bis(octadecane-1-aminium) lead iodide
133,Tris(iodoformamidinium) tin iodide,[NH2C(I)==NH2]3Snl5,C3H12I3N6Snl5,CH4IN2,"Snl5, Tin iodide",2022-01-06,,tris(iododiaminomethanide) tin iodide
134,Tris(iodoformamidinium) lead iodide,[NH2C(I)==NH2]3Pbl5,C3H12I3N6Pbl5,CH4IN2,"Pbl5, Lead iodide",2022-01-06,,tris(iododiaminomethanide) lead iodide
135,"Bis(propane-1,2-diammonium) lead iodide trihydrate",[NH3CH2CH(NH3)CH3]2[PbI6]3H2O,C6H24N4PbI6 3H2O,C3H12N2,"PbI6, Lead iodide",2022-01-06,,"Bis(propane-1,2-diaminium) lead iodide trihydrate"
136,Bis­(tert-butyl­ammonium) (lead iodide) iodide dihydrate],(C4H12N)2[PbI3]I 2H2O,C8H24N2[PbI3]I 2H2O,C4H12N,"[PbI3]I, Lead iodide",2022-01-06,,bis­(2-methylpropane-2-aminium) lead iodide dihydrate
137,Tetrakis(3-phenylpropylammonium) lead iodide,(C9H14N)4Pb3I10,C36H52N4Pb3I10,C9H14N,"Pb3I10, Lead iodide",2022-01-06,,tetrakis(1-phenylpropane-3-aminium) lead iodide
138,"1,4-phenyldiammonium lead iodide tetrahydrofuran",(C6H10N2)Pb2I6·3THF,C6H10N2Pb2I6 3THF,C6H10N2,"Pb2I6, Lead iodide",2022-01-06,,"1,4-benzenediaminium fluorolane lead iodide"
140,2-fluoro-2-phenethylammonium tin iodide,"(2-FPEA)2SnI4, (C8H11FN)2(I4Sn)",C16H22F2N2SnI4,C8H11FN,"SnI4, Tin iodide",2022-01-06,,2-fluoro-2-phenylethanaminium tin iodide
141,3-fluoro-2-phenethylammonium tin iodide,"(3-FPEA)2SnI4, (C8H11FN)2(I4Sn)",C16H22F2N2SnI4,C8H11FN,"SnI4, Tin iodide",2022-01-06,,3-fluoro-2-phenylethanaminium tin iodide
142,4-fluoro-2-phenethylammonium tin iodide,"(4-FPEA)2SnI4, (C8H11FN)2(I4Sn)",C16H22F2N2SnI4,C8H11FN,"SnI4, Tin iodide",2022-01-06,,4-fluoro-2-phenylethanaminium tin iodide
143,"1,4-phenylendiammonium copper chloride",(H2C6H4(NH2)2)CuCl4,C6H10N2CuCl4,C6H10N2,"CuCl4, Copper chloride",2022-01-06,,"1,4-phenylendiaminium copper chloride"
144,"1,4-phenylendiammonium lead chloride",(H2C6H4(NH2)2)(PbCl3)2,C6H10N2Pb2Cl6,C6H10N2,"PbCl3, Lead chloride",2022-01-06,,"1,4-phenylendiaminium lead chloride"
145,Bis(p-biphenylamine) copper chloride,(HC6H4(NH2)(C6H5))2CuCl4,C24H24N2CuCl4,C12H12N,"CuCl4, Copper chloride",2022-01-06,,"bis(1,1'biphenyl-4-aminium) copper chloride"
146,Benzidine copper chloride,(H2(C6H4)2(NH2)2)CuCl4,C12H14N2CuCl4,C12H14N2,"CuCl4, Copper chloride",2022-01-06,,"1,1'-biphenyl-4,4'-diaminium copper chloride"
147,Bis(benzidine) lead chloride,(H2(C6H4)2(NH2)2)2PbCl6,C24H28N4PbCl6,C12H14N2,"PbCl6, Lead chloride",2022-01-06,,"bis(1,1'-biphenyl-4,4'-diaminium) lead chloride"
148,bis(β-methylphenethylammonium) lead iodide,"(β-Me-PEA)2PbI4, (C9H13N)2PbI4",C18H26N2PbI4,C9H13N,"PbI4, Lead iodide",2022-01-06,,bis(β-methylphenylethanaminium) lead iodide
149,bis(β-methylphenethylammonium) methylammonium lead iodide,"(β-Me-PEA)2MAPb2I7, (C9H13N)2CH3NH3Pb2I7",C19H32N3Pb2I7,"C9H13N, CH6N","Pb2I7, Lead iodide",2022-01-06,,bis(β-methylphenylethanaminium) methanaminium lead iodide
150,bis(β-methylphenethylammonium) bis(methylammonium) lead iodide,"(β-Me-PEA)2MA2Pb3I10, (C9H13N)2(CH3NH3)2Pb3I10",C20H38N4Pb3I10,"C9H13N, CH6N","Pb3I10, Lead iodide",2022-01-26,,bis(β-methylphenylethanaminium) bis(methanaminium) lead iodide
151,"5,5‘-bis(ammoniumethylsulfanyl)-2,2‘-bithiophene lead iodide",(BAESBT)PbI4,C12H18N2S4PbI4,C6H9I2N,"PbI4, Lead iodide",2022-01-26,,"(2,2'-(thioethanaminium)-5,5'-bithiophene) lead iodide"
152,"Tetrakis(5-ammoniumethylsulfanyl-2,2‘-bithiophene) lead iodide",(AESBT)4Pb3I10,C40H48N4S12Pb3I10,C10H12NS3,"Pb3I10, Lead iodide",2022-01-26,,"tetrakis(2,2'-(thioethanaminium)-5,5'-bithiophene) lead iodide"
153,"Tris(5-ammoniumethylsulfanyl-2,2‘-bithiophene) bismuth iodide",(AESBT)3Bi2I9,C30H36N3S9Bi2I9,C10H12NS3,"Bi2I9, Bismuth iodide",2022-01-26,,"tris(2,2'-(thioethanaminium)-5,5'-bithiophene) lead iodide"
154,Cs2InAgCl6,,Cs2InAgCl6,,InAgCl6,2021-08-24,,
155,Cs2InAgBr6,,Cs2InAgBr6,,InAgBr6,2021-06-23,,
156,Cs2InAgI6,,Cs2InAgI6,,InAgI6,2021-06-23,,
157,Cs2SnI6,,Cs2SnI6,,SnI6,2021-06-23,,
158,Cs2TeI6,,Cs2TeI6,,TeI6,2021-06-23,,
159,Bis(nonylammonium) lead ioide,"bis(Nonylammonium)tetraiodoplumbate(II), (C9H19NH3)2PbI4",C18H44N2PbI4,C9H22N,"PbI4, Lead iodide",2022-01-26,,bis(nonane-1-aminium) lead iodide
160,Bis(methylammonium) potasium bismuth chloride,"(MA)2KBiCl6, methylammonium potassium bismuth chloride, (CH3NH3)2KBiCl6",C2H12N2KBiCl6,CH6N,"KBiCl6, Potassium bismuth chloride",2022-01-26,,bis(methanaminium) potasium bismuth chloride
161,Bis(butylammonium) tin iodide,,C8H22N2SnI6,C4H11N,"SnI6, Tin iodide",2022-01-26,,bis(butane-1-aminium) tin iodide
162,Tetrakis(pentylammonium) cadmium chloride,[C5H9NH3]4Cd3Cl10,C20H48N4Cd3Cl10,C5H12N,"Cd3Cl10, Cadmium chloride",2022-01-26,,tetetrakis(pentane-1-aminium) cadmium chloride
164,2-hydroxyethylammonium lead iodide,(HO(CH2)2NH3)2PbI4,C4H16N2O2PbI4,C2H8NO,"PbI4, Lead iodide",2022-01-26,,bis(2-hydroxyethanaminium) lead iodide
165,Bis(2-thienylmethylammonium) methylammonium lead iodide,(C4H3SCH2NH3)2(CH3NH3)Pb2I7,C11H22N3SPb2I7,"C5H8NS, CH6N","Pb2I7, Lead iodide",2022-01-26,,bis(2-thienylmethanaminium) methanaminium lead iodide
166,Guanidinium manganese formate,[C(NH2)3][Mn(HCOO)3],CH6N3MnC3HHO6,CH6N3,"[Mn(HCOO)3]-, Manganese formate",2022-01-26,organic bridged 0D Perovskite,
167,Azetidium manganese formate,[(CH2)3NH2][Mn(HCOO)3],C3H8NMnC3H3O6,C3H8N,"[Mn(HCOO)3]-, Manganese formate",2022-01-26,organic bridged 3D Perovskite,
168,Guanidinium zinc fomate,"[Gua][Zn(HCOO)3], [C(NH2)3][Zn(HCOO)3]",CH6N3ZnC3HHO6,CH6N3,"[Zn(HCOO)3]-, Zinc formate",2022-01-26,organic bridged 3D Perovskite,
169,Guanidinium copper fomate,"[Gua][Cu(HCOO)3], [C(NH2)3][Cu(HCOO)3]",CH6N3CuC3HHO6,CH6N3,"[Cu(HCOO)3]-, Copper formate",2022-01-26,organic bridged 3D Perovskite,
170,[(CH3)2NH2][Fe(N3)2(HCOO)],[Fe(N3)2(HCOO)][(CH3)2NH2],[(CH3)2NH2][Fe(N3)2(HCOO)],[(CH3)2NH2]+,[Fe(N3)2(HCOO)]-,2022-01-26,[N3-] bridged 1D structure,
171,[(CH3)2NH2][Co(N3)2(HCOO)],[Co(N3)2(HCOO)][(CH3)2NH2],[(CH3)2NH2][Co(N3)2(HCOO)],[(CH3)2NH2]+,[Co(N3)2(HCOO)]-,2019-09-10,[N3-] bridged 1D structure,
172,"N,N‘-dimethylethylenediammonium manganese formate",[CH3NH2(CH2)2NH2CH3][Mn2(HCOO)6],C4H14N2Mn2C6H6O12,C4H14N2,"[Mn2(HCOO)6]2-, Manganese formate",2022-01-26,,"bis(N,N'-dimethylethane-1,2-diaminium) manganese formate"
173,"N,N‘-dimethylethylenediammonium copper formate",[CH3NH2(CH2)2NH2CH3][Cu2(HCOO)6],C4H14N2Cu2C6H6O12,C4H14N2,"[Co2(HCOO)6]2-, Copper formate",2022-01-26,,"bis(N,N'-dimethylethane-1,2-diaminium) copper formate"
174,dimethylamine manganese formate,"Mn(CHOO)3[NH2(CH3)2], [(CH3)2NH2][Mn(CHOO)3]",C2H8NMnC3H3O6,C2H8N,"[Mn(CHOO)3]-, Manganese formate",2022-01-26,,"N,N-dimethanaminium manganese formate"
175,dimethylamine copper formate,"Co(CHOO)3[NH2(CH3)2], [(CH3)2NH2][Co(CHOO)3]",C2H8NCoC3H3O6,C2H8N,"[Co(CHOO)3]-, Copper formate",2022-01-26,,"N,N-dimethanaminium copper formate"
176,dimethylamine nickle formate,"Ni(CHOO)3[NH2(CH3)2], [(CH3)2NH2][Ni(CHOO)3]",C2H8NNiC3H3O6,C2H8N,"[Ni(CHOO)3]-, Nickle formate",2022-01-26,,"N,N-dimethanaminium nickle formate"
177,"1,8-octyldiammonium lead iodide","OdAPbI4, [NH3(CH2)8NH3]PbI4",C8H22N2PbI4,C8H22N2,"PbI4, Lead iodide",2022-01-26,,"octane-1,8-diaminium lead iodide"
178,"1,6-diaminohexane lead iodide",HdAPbI4,C6H18N2PbI4,C6H18N2,"PbI4, Lead iodide",2022-01-26,,"hexane-1,6-diaminium lead iodide"
179,Bis(phenethylammonium) tin iodide,"(PEA)2SnI4, (C6H5CH2CH2NH3)2(SnI4)",C16H24N2SnI4,C8H12N,"SnI4, Tin iodide",2022-01-26,,bis(phenylethanaminium) tin iodide
180,Bis(phenethylammonium) cadmium iodide,"(C6H5CH2CH2NH3)2(CdI4), (PEA)2CdI4",C16H24N2CdI4,C8H12N,"CdI4, Cadmium iodide",2022-01-26,,bis(phenylethanaminium) cadmium iodide
181,"N,N-dimethylethanolammonium cadmium chloride","(DMEA)CdCl3, (C4H12NO)CdCl3",C4H12NOCdCl3,C4H12NO,"CdCl3, Cadmium chloride",2022-01-26,,"N,N-dimethylethanolaminium cadmium chloride"
182,Trimethylchloromethylammonium manganese chloride,TMCM-MnCl3,(Me3NCH2Cl)MnCl3,Me3NCH2Cl,"MnCl3, manganese chloride",2022-01-26,,trimethylchloro-methanaminium manganese chloride
183,N-methyldabconium lead iodide,(N-methyldabconium)PbI3,C7H15N2PbI3,C7H15N2,"PbI3, Lead iodide",2022-01-26,,
184,Dimethylammonium lead iodide,"DMAPbI3, (CH3)2NH2PbI3",C2H8NPbI3,C2H8N,"PbI3, Lead iodide",2022-01-26,,"N,N-dimethanaminium lead iodide"
185,Triethylpropylammonium lead iodide,[triethylpropylammonium][PbI3],C9H22PbI3,C9H22,"PbI3, Lead iodide",2022-01-26,,"N,N,N-triethyl-N-propylaminium lead iodide"
186,Heptakis(dimethylammonium) lead bromide,"DMA7Pb4Br15, [(CH3)2NH2]7Pb4Br15",C14H54N7Pb4Br15,C2H9N,"Pb4Br15, Lead bromide",2022-01-26,,heptakis(dimethanaminium) lead bromide
187,Heptakis(dimethylammonium) lead chloride,"DMA7Pb4Cl15, [(CH3)2NH2]7Pb4Cl15",C14H54N7Pb4Cl15,C2H8N,"Pb4Cl15, Lead chloride",2022-01-26,,heptakis(bimethanaminium) lead chloride
188,Methylammonium germanium bromide,"MAGeBr3, CH3NH3GeBr3",CH6NGeBr3,CH6N,"GeBr3, Germanium bromide",2022-01-26,,methanaminium germanium bromide
189,Butylammonium germanium bromide,BA2GeBr4,C4H12NGeBr4,C4H12N,"GeBr4, Germanium bromide",2022-01-26,,butan-1-aminium germanium bromide
190,Methylammonium tin chloride,"MASnCl3, CH3NH3SnCl3",CH6NSnCl3,CH6N,"SnCl3, Tin chloride",2022-01-26,,methanaminium tin chloride
191,Methylammonium tin bromide,"MASnBr3, (CH3NH3)SnBr3",CH6NSnBr3,CH6N,"SnBr3, Tin bromide",2022-01-26,,methanaminium tin bromide
192,CsSnBr3,,CsSnBr3,,SnBr3,2021-06-23,,
193,Formamidinium tin bromide iodide,"FASnI2Br, HC(NH2)2SnI2Br",CH5N2SnI2Br,CH5N2,"SnI2Br, Tin bromide iodide",2022-01-26,,diaminomethanide tin bromide iodide
194,Bis(butylammonium) copper chloride,(C4H9NH3)2CuCl4,C8H24N2CuCl4,C4H12N,"CuCl4, Copper chloride",2022-01-26,,bis(butan-1-aminium) copper chloride
195,Bis(4-fluorophenylmethylammonium) lead iodide,"(F-PMA)2PbI4, 4-fluorophenylmethylammonium lead iodide, (C14H18F2N2)PbI4",C14H18F2N2PbI4,C7H9FN,"PbI4, Lead iodide",2022-01-26,,4-fluorophenylmethanaminium lead iodide
196,Bis(4-chlorophenylmethylammonium) lead iodide,(Cl-PMA)2PbI4,C14H18Cl2N2PbI4,C7H9ClN,"PbI4, Lead iodide",2022-01-26,,4-chlorophenylmethanaminium lead iodide
197,Bis(4-bromophenylmethylammonium) lead iodide,(Br-PMA)2PbI4,C14H18Br2N2PbI4,C7H9BrN,"PbI4, Lead iodide",2022-01-26,,4-bromophenylmethanaminium lead iodide
198,Bis(4-iodophenylmethylammonium) lead iodide,(I-PMA)2PbI4,C14H18I2N2PbI4,C7H9IN,"PbI4, Lead iodide",2022-01-26,,4-iodophenylmethanaminium lead iodide
199,"1,8-octyldiammonium methylammonium lead iodide",(NH3C8H16NH3)(MA)Pb2I7,C9H28N3Pb2I7,"C8H22N2, CH6N","Pb2I7, Lead iodide",2022-01-26,,"1,8-octanediaminium methanaminium lead iodide"
200,"1,8-octyldiammonium bis(methylammonium) lead iodide",(NH3C8H16NH3)(MA)2Pb3I10,C10H34N4Pb3I10,"C8H22N2, CH6N","Pb3I10, Lead iodide",2022-02-10,,"1,8-octanediaminium bis(methanaminium) lead iodide"
201,"1,8-octyldiammonium tris(methylammonium) lead iodide",(NH3C8H16NH3)(MA)3Pb4I13,C11H40N5Pb4I13,"C8H22N2, CH6N","Pb4I13, Lead iodide",2022-02-10,,"1,8-octanediaminium tris(methanaminium) lead iodide"
202,"1,9-nonyldiammonium lead iodide","(NH3C9H18NH3)PbI4, NH3C9H18NH3PbI4",C9H24N6PbI4,C9H24N6,"PbI4, Lead iodide",2022-02-10,,"1,9-nonanediaminium lead iodide"
203,"1,9-nonyldiammonium methylammonium lead iodide",(NH3C9H18NH3)(MA)Pb2I7,C10H30N7Pb2I7,"C9H24N6, CH6N","Pb2I7, Lead iodide",2022-02-10,,"1,9-nonanediaminium methanaminium lead iodide"
204,"1,9-nonyldiammonium bis(methylammonium) lead iodide",(NH3C9H18NH3)(MA)2Pb3I10,C11H36N8Pb3I10,"C9H24N6, CH6N","Pb3I10, Lead iodide",2022-02-10,,"1,9-nonanediaminium bis(methanaminium) lead iodide"
205,Aniline copper bromide iodide,C6H4NH2CuBr2I,C6H6NCuBr2I,C6H6N,"CuBr2I, Copper bromide iodide",2022-02-10,,aniline copper bromide iodide
207,Tris(methylammonium) antimony iodide,"MA3Sb2I9, (CH3NH3)3Sb2I9",C3H18N3Sb2I9,CH6N,"Sb2I9, Antimony iodide",2022-02-10,,tris(methanaminium) antimony iodide
208,3-(aminomethyl)pyridinium lead iodide,"(3AMPY)PbI4, (C6H10N2)PbI4",C6H10N2PbI4,C6H10N2,"PbI4, lead iodide",2022-02-10,,3-(methanaminium)pyridinium lead iodide
209,3-(aminomethyl)pyridinium methylammonium lead iodide,"(3AMPY)(MA)Pb2I7, (C7H16N3)Pb2I7",C7H16N3Pb2I7,"C6H10N2, CH6N","Pb2I7, Lead iodide",2022-02-10,,3-(methanaminium)pyridinium methanaminium lead iodide
210,3-(aminomethyl)pyridinium bis(methylammonium) lead iodide,"(3AMPY)(MA)2Pb3I10, (C8H22N4)Pb3I10",C8H22N4Pb3I10,"C6H10N2, CH6N","Pb3I10, Lead iodide",2022-02-10,,3-(methanaminium)pyridinium bis(methanaminium) lead iodide
211,3-(aminomethyl)pyridinium tris(methylammonium) lead iodide,"(3AMPY)(MA)3Pb4I13, (C9H28N5)Pb4I13",C9H28N5Pb4I13,"C6H10N2, CH6N","Pb4I13, Lead iodide",2022-02-10,,3-(methanaminium)pyridinium tris(methanaminium) lead iodide
212,4-(aminomethyl)pyridinium lead iodide,"(4AMPY)PbI4, (C6H10N2)PbI4",C6H10N2PbI4,C6H10N2,"PbI4, Lead iodide",2022-02-10,,4-(methanaminium)pyridinium lead iodide
213,4-(aminomethyl)pyridinium methylammonium lead iodide,"(4AMPY)(MA)Pb2I7, (C7H16N3)Pb2I7",C7H16N3Pb2I7,"C6H10N2, CH6N","Pb2I7, Lead iodide",2022-02-10,,4-(methanaminium)pyridinium methanaminium lead iodide
214,4-(aminomethyl)pyridinium bis(methylammonium) lead iodide,"(4AMPY)(MA)2Pb3I10, (C8H22N4)Pb3I10",C8H22N4Pb3I10,"C6H10N2, CH6N","Pb3I10, Lead iodide",2022-02-10,,4-(methanaminium)pyridinium bis(methanaminium) lead iodide
215,4-(aminomethyl)pyridinium tris(methylammonium) lead iodide,"(4AMPY)(MA)3Pb4I13, (C9H28N5)Pb4I13",C9H28N5Pb4I13,"C6H10N2, CH6N","Pb4I13, Lead iodide",2022-02-10,,4-(methanaminium)pyridinium tris(methanaminium) lead iodide
216,bismethylbenzylammonium lead iodide,"(MBA)2PbI4, α-methylbenzylammonium lead, (C6H5CH(CH3)NH3)2PbI4 iodide, 1-phenylethylammonium lead iodide",C16H24N2PbI4,"(C8H12N)2,","PbI4, Lead iodide",2022-02-10,Chiral 2D perovskite,bismethylbenzylaminium lead iodide
217,Bis(benzylammonium) lead iodide,"(BZA)2PbI4, Benzylammonium lead iodide, (C6H5CH2NH3)2PbI4",C14H20N2PbI4,C7H10N,"PbI4, lead iodide",2022-02-10,,bis(benzylaminium) lead iodide
218,Bis(ethylammoniumbithiophene) lead iodide,"(2T)2PbI4, (C10H12NS2)2PbI4",C20H24N2S4PbI4,C10H12NS2,"PbI4, Lead iodide",2022-02-10,,"bis(5-ethanaminium-2,2'-bithiophene) lead iodide"
219,Bis(ethylammoniumdimethylquaterthiophene) lead iodide,"(4Tm)2PbI4, (C20H20NS4)2PbI4, 2(C20H20NS4) ·I3Pb·I",C40H40N2S8PbI4,C20H20NS4,"PbI4, Lead iodide",2022-02-10,,"5-ethanaminium-4',3'''dimethyl-2,2‘:5‘,2‘‘:5‘‘,2‘‘‘-quaterthiophene tin iodide"
220,Bis(ethylammoniumdimethylquaterthiophenecarbonitrile) lead iodide,"(4TCNm)2PbI4, (C20H18N3S4)2PbI4",C40H36N6S8PbI4,C20H18N3S4,"PbI4, Lead iodide",2022-02-10,,"5-ethanaminium-4',3'''dimethyl-2,2‘:5‘,2‘‘:5‘‘,2‘‘‘-quaterthiophene-3'',4''-dicarbonitrile"
221,(BTm)2PbI4,"(BTm)2PbI4, I8Pb2·4(C24H22NS4)",C24H22NS4PbI4,C24H22NS4,"PbI4, Lead iodide",2022-02-10,"There is an erratum reported for this publication. However, the data listed here was and is correct.",
222,"(2,2'-(ethylenedioxy)bis(ethylammonium) copper chloride",(EDBE)[CuCl4],C6H18O2N2CuCl4,C6H18O2N2,"CuCl4, Copper chloride",2022-02-10,,"((ethane-1,2-dyilbis(oxy))-O,O'-bis(ethanaminium) copper chloride"
223,Cs2AgBiBr6,,Cs2AgBiBr6,,AgBiBr6,2021-06-24,,
224,Bis(4-fluorophenethylammonium) lead iodide,"(FPEA)2PbI4,  4-FC6H4(CH2)2NH3+)PbI4",C16H22N2F2PbI4,C8H11NF,"PbI4, Lead iodide",2022-02-10,,bis(4-fluorophenethanaminium) lead iodide
225,Bis(4-fluorophenethylammonium) methylammonium lead iodide,"(FPEA)2(MA)Pb2I7, (4-FC6H4(CH2)2NH3+)Pb2I7",C17H28N3F2Pb2I7,"C8H11NF, CH6N","Pb2I7, Lead iodide",2022-02-10,,bis(4-fluorophenethanaminium) methanaminium lead iodide
226,Bis(4-fluorophenethylammonium) bis(methylammonium) lead iodide,"(FPEA)2(MA)2Pb3I10, (4-FC6H4(CH2)2NH3+)2(CH3NH3)2Pb3I10",C18H34N4F2Pb3I10,"C8H11NF, CH6N","Pb3I10, Lead iodide",2022-02-10,,bis(4-fluorophenethanaminium) bis(methanaminium) lead iodide
227,methylviologen BiI3Cl2,,(MV)BiI3Cl2,MV,"BiI3Cl2, Bismuth chloride iodide",2022-02-10,"The structure of (MV)BiI3Cl2 can be described as [BiI3Cl2] chains of trans-connected octahedra separated by methylviologen dications, defining a chessboard arrangement when viewed along the chains.",
228,bis(6-Iodohexylammonium) lead iodide,"(IC6)2[PbI4], C12H30N2PbI6",C12H30N2I2PbI4,C6H15NI,"PbI4, Lead iodide",2022-02-10,,bis(1-iodohexyl-6-aminium) lead iodide
229,tetrakis((R)-1-phenylethylammonium) bismuth bromide,"(R)-(MBA)4[BiBr10], (R)-1-phenylethylammonium bromobismuthate(III), [((R)-C8H12N)4][Bi2Br10]",C32H48N4Bi2Br10,C8H12N,"Bi2Br10, Bismuth bromide",2022-02-10,,tetrakis((R)-1-phenylethylammonium) bismuth bromide
230,tetrakis((S)-1-phenylethylammonium) bismuth bromide,"(S)-(MBA)4[BiBr10], (S)-1-phenylethylammonium bromobismuthate(III), [((S)-C8H12N)4][Bi2Br10]",C32H48N4Bi2Br10,C8H12N,"Bi2Br10, Bismuth bromide",2022-02-10,,tetrakis((S)-1-phenylethylammonium) bismuth bromide
231,Bis(methylammonium) bismuth thallium bromide,"(MA)2BiBr6Tl, (CH3NH3)2BiBr6Tl",C2H12N2BiBr6Tl,CH6N,"TlBiBr6, Bismuth bromide thallium",2022-02-10,,bis(methanaminium) bismuth thallium bromide
232,"Bis(3,4-dichlorobut-3-en-1-ammonium) lead bromide","(BEA-Cl2)2[PbBr4], C8H20Br4Cl4N2Pb",C8H20Cl4N2PbBr4,C4H10Cl2N,"PbBr4, Lead bromide",2022-02-10,,"bis(3,4-dichlorobut-3-en-1-aminium) lead bromide"
