id,compound_name,group,formula,organic,inorganic,last_update,description,iupac
233,"Bis(3,4-dibromobut-3-en-1-ammonium) lead bromide","(BEA-Br2)2[PbBr4], C8H20Br8N2Pb",C8H20Br4N2PbBr4,C4H10Br2N,"PbBr4, Lead bromide",2022-02-10,,"bis(3,4-dibromobut-3-en-1-aminium) lead bromide"
234,"Bis(3,4-dibromobut-3-en-1-ammonium) lead chloride","(BEA-Br2)2[PbCl4], C8H20Br4N2PbCl4",C8H20Br4N2PbCl4,C4H10Br2N,"PbCl4, Lead chloride",2022-02-10,,"bis(3,4-dibromobut-3-en-1-aminium) lead chloride"
235,Bis(3-butylidyne-1-ammonium) lead bromide,"(BYA)2[PbBr4], C8H16Br4N2Pb",C8H16N2PbBr4,C4H8N,"PbBr4, Lead bromide",2022-02-10,,bis(3-butylidyne-1-aminium) lead bromide
236,"Bis(1,2-diiodo-but-1-en-4-ammonium) lead bromide","(BYA-I2)2[PbBr4], C8H16Br4I4N2Pb",C8H16I4N2PbBr4,C4H8I2N,"PbBr4, Lead bromide",2022-02-10,,"bis(1,2-diiodo-but-1-en-4-aminium) lead bromide"
237,Bis(but-3-en-1-ammonium) lead bromide,"(BEA)2[PbBr4], C8H20Br4N2Pb",C8H20N2PbBr4,C4H10N,"PbBr4, Lead bromide",2022-02-10,,bis(but-3-en-1-aminium) lead bromide
238,tris(methylammonium) bismuth iodide,"MBI, MA3Bi2I9, (CH3NH3)3Bi2I9",C3H18N3Bi2I9,CH6N,"Bi2I9, Bismuth iodide",2022-02-10,,tris(methanaminium) bismuth iodide
240,Ba2CaMoO6,,Ba2CaMoO6,Ba2Ca,MoO6,2022-02-10,,
241,bis(methylammonium) potassium gadolinium chloride,"(MA)2KGdCl6, (CH3NH3)2KGdCl6",C2H12N2KGdCl6,CH6N,"KGdCl6, Potassium chloride gadolinium",2022-02-10,,bis(methanaminium) potassium gadolinium chloride
242,bis(methylammonium) potassium yttrium chloride,"(MA)2KYCl6, (CH3NH3)2KYCl6",C2H12N2KYCl6,CH6N,"KYCl6, Potassium chloride yttrium",2022-02-10,,bis(methanaminium) potassium yttrium chloride
243,Cs2AgTlCl6,,Cs2AgTlCl6,,Cs2AgTlCl6,2020-06-12,,
244,Cs2AgTlBr6,,Cs2AgTlBr6,,Cs2AgTlBr6,2020-06-12,,
245,"Bis(2-(3”, 4’-dimethyl-[2,2’:5’,2’:5”,2”’-quarter-thiophen]-5-yl)ethan-1-ammonium) tin iodide","(4Tm)2SnI4, I16Sn4•8(C20H20NS4)",C40H40NS4SnI4,C20H20NS4,"SnI4, Tin iodide",2022-02-10,,"Bis(2-(3”, 4’-dimethyl-[2,2’:5’,2’:5”,2”’-quarter-thiophen]-5-yl)ethan-1-ammonium) tin iodide"
246,"Hexane-1,6-diammonium bismuth iodide","(HDA)BiI5, C6H18BiI5N2",C6H18N2BiI5,C6H18N2,"BiI5, Bismuth iodide",2022-02-10,,"hexane-1,6-diaminium bismuth iodide"
247,Tris(N-propylammonium) bismuth iodide,"(PA)3Bi2I9, N-propylammonium bismuth iodide",C12H36N3Bi2I9,C4H12N,"Bi2I9, Bismuth iodide",2022-02-10,,tris(N-propane-1-aminium) bismuth iodide
248,Bis(butylammonium) formamidinium lead iodide,"(BA)2[FAPbI3]PbI4, (BA)2(FA)Pb2I7",(C4H9NH3)2[CH(NH2)2PbI3]PbI4,"BA, FA",Lead iodide,2021-11-09,n=2,bis(butane-1-aminium) diaminomethanide lead iodide
249,Bis(benzylammonium) formmamidinium lead iodide,"(BZA)2[FAPbI3]PbI4, (BZA)2(FA)Pb2I7",(C6H5CH2NH3)2[CH(NH2)2PbI3]PbI4,"BZA, FA",Lead iodide,2021-11-09,n=2,bis(benzylaminium) diaminomethanide lead iodide
250,Bis(bithiophene) tin iodide,(2T)2SnI4,(2T)2SnI4,2T,"SnI4, Tin iodide",2021-11-09,,bis(bithiophene) tin iodide
251,Bis(bithiophene) lead bromide,(2T)2PbBr4,Br8Pb2•4(C10H12NS2),2T,"PbBr4, Lead bromide",2021-11-09,,bis(bithiophene) lead bromide
252,Bis(butylammonium) caesium lead bromide,(BA)2CsPb2Br7,C8H24N2CsPb2Br7,C8H24N2,"CsPb2Br7, Caesium lead bromide",2021-11-09,n=2,bis(butane-1-aminium) caesium lead bromide
253,Bis(butylammonium) caesium lead bromide,(BA)2Cs2Pb3Br10,C8H24N2Cs2Pb3Br10,C8H24N2,"Cs2Pb3Br10, Caesium lead bromide",2021-11-09,n=3,bis(butane-1-aminium) caesium lead bromide
254,Benzodiimidazolium tin iodide,BdiSnI4,C8H8N4SnI4,Bdi (C8H8N4),"SnI4, Tin iodide",2021-08-24,,
255,Benzodiimidazolium lead iodide,BdiPbI4,C8H8N4PbI4,C8H8N4,"PbI4, Lead iodide",2021-08-24,,
256,Tris(thiophenyl) lead iodide,,Pb2I(SC6H5)3,(SC6H5),"Pb2I, Lead iodide",2021-08-24,,
257,Tris(thiophenyl) lead bromide,,Pb2Br(SC6H5)3,SC6H5,"Pb2Br, Lead bromide",2021-08-24,,
258,Tris(thiophenyl) lead chloride,,Pb2Cl(SC6H5)3,SC6H5,"Pb2Cl, Lead chloride",2021-08-24,,
259,PbI1.524(S-C6H5)0.476,,PbI1.524(S-C6H5)0.476,SC6H5,Lead iodide,2021-08-24,,
260,Guanidinium methylammonium lead iodide,"(Gua)(MA)PbI4, (GA)(MA)PbI4",(C(NH2)3)(CH3NH3)PbI4,"GA (C(NH2)3), MA (CH3NH3)","PbI4, Lead iodide",2021-11-09,,diaminomethanaminium methanaminium lead iodide
261,Guanidinium bis(methylammonium) lead iodide,"(Gua)(MA)2Pb2I7, (GA)(MA)2Pb2I7",(C(NH2)3)(CH3NH3)2Pb2I7,"GA (C(NH2)3), MA2 (CH3NH3)2","Pb2I7, Lead iodide",2021-11-09,,diaminomethanaminium bis(methanaminium) lead iodide
262,Guanidinium tris(methylammonium) lead iodide,"(Gua)(MA)3Pb3I10, (GA)(MA)3Pb3I10",(C(NH2)3)(CH3NH3)3Pb3I10,"GA (C(NH2)3), MA3 (CH3NH3)3","Pb3I10, Lead iodide",2021-11-09,,diaminomethanaminium tris(methanaminium) lead iodide
263,Histammonium lead iodide,(HA)PbI4,(C5H11N3)PbI4,C5H11N3,"PbI4, Lead iodide",2021-11-09,,4-(2-ethanaminium)-1H-imidazol-3-ium lead iodide
264,Histammonium tin iodide,"(HIS)SnI4, (HA)SnI4",(C5H11N3)SnI4,C5H11N3,"SnI4, Tin iodide",2021-11-09,,4-(2-ethanaminium)-1H-imidazol-3-ium tin iodide
265,Bis(benzylammonium) tin iodide,"(BZA)2SnI4, Benzylammonium tin iodide",(C7NH10)2SnI4,BZA2 (C7NH10)2,"SnI4, Tin iodide",2021-11-09,,bis(benzylaminium) tin iodide
266,3-(aminomethyl)piperidinium methylammonium lead iodide,"(3-AMP)(MA)Pb2I7, (3AMP)(MA)Pb2I7",(C6H16N2)(CH3NH3)Pb2I7,"3AMP (3-(aminomethyl)piperidinium), MA","Pb2I7, Lead iodide",2021-11-09,,3-(methanaminium)piperidinium methanaminium lead iodide
267,3-(aminomethyl)piperidinium bis(methylammonium lead iodide,"(3-AMP)(MA)2Pb3I10, (3AMP)(MA)2Pb3I10",(C6H16N2)(CH3NH3)2Pb3I10,"3AMP (3-(aminomethyl)piperidinium), MA","Pb3I10, Lead iodide",2021-11-09,,3-(methanaminium)piperidinium bis(methanaminium) lead iodide
268,3-(aminomethyl)piperidinium tris(methylammonium lead iodide,"(3-AMP)(MA)3Pb4I13, (3AMP)(MA)3Pb4I13",(C6H16N2)(CH3NH3)3Pb4I13,"3AMP (3-(aminomethyl)piperidinium), MA","Pb4I13, Lead iodide",2021-11-09,,3-(methanaminium)piperidinium tris(methanaminium) lead iodide
269,4-(aminomethyl)piperidinium lead iodide,"(4-AMP)PbI4, (4AMP)PbI4",(C6H16N2)PbI4,4AMP (4-(aminomethyl)piperidinium),"PbI4, Lead iodide",2021-11-09,,4-(methanaminium)piperidinium lead iodide
270,4-(aminomethyl)piperidinium methylammonium lead iodide,"(4-AMP)(MA)Pb2I7, (4AMP)(MA)Pb2I7",(C6H16N2)(CH3NH3)Pb2I7,"4AMP (4-(aminomethyl)piperidinium), MA","Pb2I7, Lead iodide",2021-11-09,,4-(methanaminium)piperidinium methanaminium lead iodide
271,4-(aminomethyl)piperidinium bis(methylammonium lead iodide,"(4-AMP)(MA)2Pb3I10, (4AMP)(MA)2Pb3I10",(C6H16N2)(CH3NH3)2Pb3I10,"4AMP (4-(aminomethyl)piperidinium), MA","Pb3I10, Lead iodide",2021-11-09,,4-(methanaminium)piperidinium bis(methanaminium) lead iodide
272,4-(aminomethyl)piperidinium tris(methylammonium lead iodide,"(4-AMP)(MA)3Pb4I13, (4AMP)(MA)3Pb4I13",(C6H16N2)(CH3NH3)3Pb4I13,"4AMP (4-(aminomethyl)piperidinium), MA","Pb4I13, Lead iodide",2021-11-09,,4-(methanaminium)piperidinium tris(methanaminium) lead iodide
273,Propylammonium silsesquioxane copper chloride,CUPOSS,C48H220Cl12Cu4N16O48Si32,A+,MX6,2021-11-09,,propane-1-aminium silsesquioxane copper chloride
274,Guanidinium caesium lead iodide,"(Gua)CsPbI4, (GA)CsPbI4",(C(NH2)3)CsPbI4,GA (C(NH2)3),"CsPbI4, Caesium lead iodide",2021-11-09,,diaminomethanaminium caesium lead iodide
275,Guanidinium caesium lead bromide,"(Gua)CsPbBr4, (GA)CsPbBr4",(C(NH2)3)CsPbBr4,GA (C(NH2)3),"CsPbBr4, Caesium lead bromide",2021-11-09,,diaminomethanaminium caesium lead bromide
276,Guanidinium caesium lead bromide,"(Gua)Cs2Pb2Br7, (GA)Cs2Pb2Br7",(C(NH2)3)Cs2Pb2Br7,GA (C(NH2)3),"Cs2Pb2Br7, Caesium lead bromide",2021-11-09,,diaminomethanaminium caesium lead bromide
278,Bis(butylammonium) tetrakis(methylammonium) lead iodide,(BA)2(MA)4Pb5I16,(CH3(CH2)3NH3)2(CH3NH3)4Pb5I16,"BA, MA","Pb5I16, Lead iodide",2021-11-09,,bis(butane-1-aminium) tetrakis(methanaminium) lead iodide
279,[AM]Mn(H2POO)3,"[GUA]Mn(H2POO)3, [FA]Mn(H2POO)3,",C2H24Mn(H2POO)3,[AM]Mn,(H2POO)−,2021-08-24,A family of five hybrid perovskites that have been synthesised from hypophosphite (H2POO)− as the X-site ion.,
280,4-(aminomethyl)piperidinium lead iodide,"DJP, (AMP)PbI4",C12H32I8N4Pb2,AMP,"PbI4, Lead iodide",2021-11-30,,4-(methanaminium)piperidinium lead iodide
281,3-aminomethylpyridinium lead tin iodide,(3AMPY)PbSnI6,C6H10I6N2Pb0.91Sn1.09,3AMPY,"PbSnI6, Lead tin iodide",2021-11-30,,3-(methanaminium)pyridinium lead tin iodide
282,4-aminomethylpyridinium lead iodide,(3AMPY)Pb2I6,C6H10I6N2Pb2,3AMPY,"Pb2I6, Lead iodide",2021-11-30,,4-(methanaminium)pyridinium lead iodide
283,4-aminomethylpyridinium lead iodide,(4AMPY)Pb2I6,C6H10I6N2Pb2,4AMPY,"Pb2I6, Lead iodide",2021-11-30,,4-(methanaminium)pyridinium lead iodide
284,3-aminomethylpyridinium tin iodide,(3AMPY)Sn2I6,C6H10I6N2Sn2,3AMPY,"Sn2I6, Tin iodide",2021-11-30,,3-(methanaminium)pyridinium tin iodide
285,(3AMPY)0.5(4AMPY)0.5Sn2I6,,C6H10I6N2Sn2,(3AMPY)0.5(4AMPY),"Sn2I6, Tin iodide",2021-08-24,,
286,4-(aminomethyl)piperidinium tin iodide,(4AMPY)Sn2I6,C6H10I6N2Sn2,4AMPY,"Sn2I6, Tin iodide",2021-11-30,,4-(methanaminium)piperidinium tin iodide
287,(R/S-)methylbenzylammonium tin iodide,"(MBA)2SnI4, α-methylbenzylammonium tin iodide, 1-phenylethylammonium tin iodide",(C6H5CH(CH3)NH3)2SnI4,(MBA)2,"SnI4, Tin iodide",2021-11-30,,(R/S-)methylbenzylaminium tin iodide
288,Tetrakis(4-methylpiperidinium) iodide bismuth iodide,MP-T-BiI6,(C6H14N)4I3BiI6,"MP-T, (C6H14N)4","I3BiI6, Iodide bismuth iodide",2021-11-30,A highly efficient light absorber that induces band-edge reconstructions at the Brillouin zone center.,tetrakis(4-methylpiperidinium) iodide bismuth iodide
290,Bis(3-propanolammonium) lead iodide,(HO(CH2)3NH3)2PbI4,C6H20N2O2PbI4,C6H20N2O2,"PbI4, Lead iodide",2021-11-30,,bis(3-propanolaminium) lead iodide
291,Bis(2-iodoethylammonium) lead iodide,"2-iodoethylammonium lead iodide, (I(CH2)2NH3)2PbI4",C4H14N2PbI6,C4H14N2,"PbI6, Lead iodide",2021-11-30,,bis(2-iodoethylaminium) lead iodide
292,Bis(3-iodopropylammonium) lead iodide,(I(CH2)3NH3)2PbI4,C6H18N2PbI6,C6H18N2,"PbI6, Lead iodide",2021-12-07,,bis(3-iodopropylaminium) lead iodide
293,Bis(4-iodobutylammonium) lead iodide,(I(CH2)4NH3)2PbI4,C8H22N2PbI6,C8H22N2,"PbI6, Lead iodide",2021-12-07,,bis(4-iodobutylaminium) lead iodide
294,Bis(5-iodopentylammonium) lead iodide,(I(CH2)5NH3)2PbI4,C10H26N2PbI6,C10H26N2,"PbI6, Lead iodide",2021-12-07,,bis(5-iodopentylaminium) lead iodide
295,Bis(6-iodohexylammonium) lead iodide,(I(CH2)6NH3)2PbI4,C12H30N2PbI6,C12H30N2,"PbI6, Lead iodide",2021-12-07,,bis(6-iodohexylaminium) lead iodide
296,Bis(2-bromoethylammonium) lead iodide,"2-bromoethylammonium lead iodide, (Br(CH2)2NH3)2PbI4",C4H14N2Br2PbI4,C4H14N2Br2,"PbI4, Lead iodide",2021-12-07,,bis(2-bromoethylaminium) lead iodide
297,"2,2′-dithiodiethanammonium lead iodide",(NH3(CH2)2S-S(CH2)2NH3)PbI4,C4H14N2S2PbI4,C4H14N2S2,"PbI4, Lead iodide",2021-12-07,,"2,2′-dithiodiethanaminium lead iodide"
298,"Iodo-bis(2,2′-dithiodiethanammonium) lead iodide",(NH3(CH2)2S-S(CH2)2NH3)2PbI5·I,C8H28N4S4PbI6,C8H28N4S4,"PbI6, Lead iodide",2021-12-07,,"iodo-bis(2,2′-dithiodiethanaminium) lead iodide"
299,Bis(naphthaleneoxyethylammonium) lead iodide,"(Nap-O-Et-NH3)2PbI4, (naphthalene-O-ethyl-NH3)2PbI4","(C12H14ON)2PbI4, C24H28O2N2PbI4",(C12H14ON)2,"PbI4, Lead iodide",2021-12-07,,bis(naphthaleneoxyethylaminium) lead iodide
300,Bis(naphthaleneoxypropylammonium) lead iodide,"(Nap-O-Pr-NH3)2PbI4, (naphthalene-O-propyl-NH3)2PbI4",(C13H16ON)2PbI4,(C13H16ON)2,"PbI4, Lead iodide",2021-12-07,,bis(naphthaleneoxypropylaminium) lead iodide
301,(naphthalene-O-propyl-NH3)2PbI4·(C4H6O2)0.5,(Nap-O-Pr-NH3)2PbI4·(C4H6O2)0.5,"(C4H6O2)0.5(C13H16ON)2PbI4, C28H35O3N2PbI4",(C4H6O2)0.5(C13H16ON)2,"PbI4, Lead iodide",2021-08-24,,
302,Bis(pyreneoxyethylammonium) lead iodide,(pyrene-O-ethyl-NH3)2PbI4,"(C18H16ON)2PbI4, C36H32O2N2PbI4",(C18H16ON)2,"PbI4, Lead iodide",2021-12-07,,bis(pyreneoxyethylaminium) lead iodide
303,Bis(pyreneoxypropylammonium) lead iodide,(pyrene-O-propyl-NH3)2PbI4,(C19H18ON)2PbI4,(C19H18ON)2,"PbI4, Lead iodide",2021-12-07,,bis(pyreneoxypropylaminium) lead iodide
304,Bis(pyreneoxybutylammonium) lead iodide,(pyrene-O-butyl-NH3)2PbI4,(C20H20ON)2PbI4,(C20H20ON)2,"PbI4, Lead iodide",2021-12-07,,bis(pyreneoxybutylaminium) lead iodide
305,Bis(perylenoxyethylammonium) lead iodide,(perylene-O-ethyl-NH3)2PbI4,(C22H18ON)2PbI4,(C22H18ON)2,"PbI4, Lead iodide",2021-12-07,,bis(perylenoxyethylaminium) lead iodide
306,"Bis(4,4-difluoropiperidinium) lead iodide","(4,4-difluoropiperidinium)2PbI4, (4,4-DFPD)2PbI4",(C5H10F2N)2PbI4,(C5H10F2N)2,"PbI4, Lead iodide",2021-12-07,,"bis(4,4-difluoropiperidinium) lead iodide"
307,"Bisdecakis(3,3-difluoropiperidinium) lead iodide","(3,3-difluoropiperidinium)12Pb7I26, (3,3-DFPD)12Pb7I26",C60H120F24N12Pb7I26,C60H120F24N12,"Pb7I26, Lead iodide",2021-12-07,,"bisdecakis(3,3-difluoropiperidinium) lead iodide"
308,Piperidinium lead iodide,"(piperidinium)PbI3, (PD)PbI3",(C5H12N)PbI3,(C5H12N),"PbI3, Lead iodide",2021-12-07,,piperidinium lead iodide
309,4-fluoropiperidinium lead iodide,"(4-FPD)PbI3, (4-fluoropiperidinium)PbI3",(C5H11FN)PbI3,(C5H11FN),"PbI3, Lead iodide",2021-12-07,,4-fluoropiperidinium lead iodide
310,3-fluoropiperidinium lead iodide,"(3-FPD)PbI3, (3- fluoropiperidinium)PbI3",(C5H11FN)PbI3,(C5H11FN),"PbI3, Lead iodide",2021-12-07,,3-fluoropiperidinium lead iodide
311,Bis(naphthaleneoxybutylammonium) lead iodide,"(Nap-O-Bu-NH3)2PbI4, (naphthalene-O-butyl-NH3)2PbI4","(C14H18ON)2PbI4, C28H36O2N2PbI4",(C14H18ON)2,"PbI4, Lead iodide",2021-12-07,,bis(naphthaleneoxybutylaminium) lead iodide
312,Bis(naphthaleneoxyhexylammonium) lead iodide,"(Nap-O-Hex-NH3)2PbI4, (naphthalene-O-hexyl-NH3)2PbI4",(C16H22ON)2PbI4,(C16H22ON)2,"PbI4, Lead iodide",2021-12-07,,bis(naphthaleneoxyhexylaminium) lead iodide
313,Bis(methoxynaphthaleneoxyethylammonium) lead iodide,"(MeO-Nap-O-Et-NH3)2PbI4, (methoxy-naphthalene-O-ethyl-NH3)2PbI4",(C13H16O2N)2PbI4,(C13H16O2N)2,"PbI4, Lead iodide",2021-12-07,,bis(methoxynaphthaleneoxyethylaminium) lead iodide
314,Bis(methoxynaphthaleneoxybutylammonium) lead iodide,"(MeO-Nap-O-Bu-NH3)2PbI4, (methoxy-naphthalene-O-butyl-NH3)2PbI4",(C15H20O2N)2PbI4,(C15H20O2N)2,"PbI4, Lead iodide",2021-12-07,,bis(methoxynaphthaleneoxybutylaminium) lead iodide
315,Bis(methoxynaphthaleneoxyhexylammonium) lead iodide,"(MeO-Nap-O-Hex-NH3)2PbI4, (methoxy-naphthalene-O-hexyl-NH3)2PbI4",(C17H24O2N)2PbI4,(C17H24O2N)2,"PbI4, Lead iodide",2021-12-07,,bis(methoxynaphthaleneoxyhexylaminium) lead iodide
316,Bis(pentachloro-phenyloxypropylammonium) lead iodide,"(C6Cl5-O-Pr-NH3)2PBI4, (C6Cl5-O-propyl-NH3)2PbI4",(Cl5C9H9ON)2PbI4,(Cl5C9H9ON)2,"PbI4, Lead iodide",2021-12-07,,bis(pentachloro-phenyloxypropylaminium) lead iodide
317,Bis(butylammonium) tin iodide,"(BA)2SnI4, (C4)2SnI4",(CH3(CH2)3NH3)2SnI4,C8H24N2,"SnI4, Tin iodide",2021-12-07,,bis(butylaminium) tin iodide
318,Pentyldiammonium tin iodide,"(C5di)SnI4, 1-pentylammonium tin iodide",NH3(CH2)5NH3SnI4,C5H16N2,"SnI4, Tin iodide",2021-12-07,,pentyldiaminium tin iodide
319,(TRA)2SnI4,,"C16H32N2O4SnI4, (HOOC(C6H10)CH2NH3)2SnI4",C16H32N2O4,"SnI4, Tin iodide",2021-08-24,,
320,Bis(iodobutylammonium) tin iodide,"(IC4)2SnI4, 1-iodobutylammonium tin iodide, (I-BA)2SnI4",(I(CH2)4NH3)2SNI4,C8H22N2,"SnI4, Tin iodide",2021-12-07,,bis(iodobutylaminium) tin iodide
321,Bis(4-aminobutyric acid) tin iodide,"(GABA)2SnI4, 4-aminobutyric acid tin iodide, gamma-aminobutyric acid tin iodide",(HOOC(CH2)3NH3)2SnI4,(HOOC(CH2)3NH3)2,"SnI4, Tin iodide",2021-12-07,,bis(4-aminiumbutanoic acid) tin iodide
322,1-(aminoethyl)piperdinium tin iodide,"(AEPi)SnI4, 1-(aminoethyl)piperdinium tin iodide",(C5H10N)C2H4NH2,C7H16N2,"SnI4, Tin iodide",2021-12-07,,1-(aminoethyl)piperdinium tin iodide
323,3-iodopyridinium tin iodide,"(IPy)2SnI4, 3-iodopyridinium tin iodide","C10H10N2SnI6, (I(C5H4)NH)2SnI4",(I(C5H4)NH)2,"SnI4, Tin iodide",2021-12-07,,3-iodopyridinium tin iodide
324,MA2CuClxBr4-x,,(CH3NH3)2CuCl2Br2,(CH3NH3)2,"CuCl2Br2, Copper bromide chloride",2021-08-24,,
325,Bis(hexylammonium) manganese chloride,C6MnCl,(C6H13NH3)2MnCl4,(C6H13NH3)2,"MnCl4, Manganese chloride",2021-12-07,,bis(hexylaminium) manganese chloride
326,CsPbBr3,,CsPbBr3,,"PbBr3, Lead bromide",2021-08-24,,
327,CsSnI3,,CsSnI3,,"SnI3, Tin iodide",2021-08-24,,
328,Trimethylammonium tin iodide,TMASnI3,(CH3)3NHSnI3,(CH3)3NH,"SnI3, Tin iodide",2021-12-07,,trimethanaminium tin iodide
329,Ethylammonium tin iodide,EASnI3,CH3CH2NH3SnI3,"EA, CH3CH2NH3","SnI3, Tin iodide",2021-12-07,,ethylaminium tin iodide
330,Guanidinium tin iodide,GASnI3,C(NH2)3SnI3,"GA, C(NH2)3","SnI3, Tin iodide",2021-12-07,,diaminomethanaminium tin iodide
331,Bis(guanidinium) tin iodide,GA2SnI4,{C(NH2)3}2SnI4,"GA2, {C(NH2)3}2","SnI4, Tin iodide",2021-12-07,,bis(diaminomethanaminium) tin iodide
332,Acetamidinium tin iodide,ACASnI3,CH3C(NH2)2SnI3,"ACA, CH3C(NH2)2","SnI3, Tin iodide",2021-08-24,,
333,Imidazolium tin iodide,IMSnI3,C3N2H5SnI3,"IM, C3N2H5","SnI3, Tin iodide",2021-12-07,,imidazolium tin iodide
334,Tris(isopropylammonium) tin iodide,(IPA)3SnI5,[(CH3)2CHNH3]3SnI5,"(IPA)3, [(CH3)2CHNH3]3","SnI5, Tin iodide",2021-12-07,,tris(isopropylaminium) tin iodide
335,Tris(isopropylammonium) tin iodide,(IPA)3Sn2I7,{(CH3)2C(H)NH3}3Sn2I7,"(IPA)3, {(CH3)2C(H)NH3}3","Sn2I7, Tin iodide",2021-12-07,,tris(isopropylaminium) tin iodide
336,Bis(butylammonium) methylammonium tin iodide,(BA)2(MA)Sn2I7,CH3(CH2)3(NH3)2(CH3NH3)Sn2I7,"(BA)2(MA), CH3(CH2)3(NH3)2(CH3NH3)","Sn2I7, Tin iodide",2021-12-07,,bis(butylaminium) methanaminium tin iodide
337,C2-TGA,Thioglycolic acid,C2H4O2S,C2H4,O2S,2021-08-24,,
338,3-mercaptopropionic acid,"C3-MPA, 3-mercaptopropionic acid",C3H6O2S,C3H6,O2S,2021-08-24,,
341,Bis(cyclopropylammonium) lead iodide,Cyclopropylammonium lead iodide,(C3H5NH3)2PbI4,(C3H5NH3)2,"PbI4, Lead iodide",2021-12-07,,bis(cyclopropylaminium) lead iodide
342,Bis(cyclobutylammonium) lead iodide,Cyclobutylammonium lead iodide,(C4H7NH3)2PbI4,(C4H7NH3)2,"PbI4, Lead iodide",2021-12-07,,bis(cyclobutylaminium) lead iodide
343,Bis(cyclopentylammonium) lead iodide,Cyclopentylammonium lead iodide,(C5H9NH3)2PbI4,(C5H9NH3)2,"PbI4, Lead iodide",2021-12-07,,bis(cyclopentylaminium) lead iodide
344,Bis(cyclohexylammonium) lead iodide,Cyclohexylammonium lead iodide,(C6H11NH3)2PbI4,(C6H11NH3)2,"PbI4, Lead iodide",2021-12-07,,bis(cyclohexylaminium) lead iodide
345,Tris(cycloheptylammonium) lead iodide,Cycloheptylammonium lead iodide,(C7H13NH3)3PbI4,(C7H13NH3)3,"PbI4, Lead iodide",2021-12-07,,tris(cycloheptylaminium) lead iodide
346,Cyclooctylammonium lead iodide,Cyclooctylammonium lead iodide,(C8H15NH3)PbI4,(C8H15NH3),"PbI4, Lead iodide",2021-12-07,,cyclooctylaminium lead iodide
347,Bis(2-chloroethylammonium) lead iodide,2-chloroethylammonium lead iodide,(Cl(CH2)2NH3)2PbI4,(Cl(CH2)2NH3)2,"PbI4, Lead iodide",2021-12-07,,bis(2-chloroethylaminium) lead iodide
348,Methylammonium lead bromide,AzPbBr3,C3H8Br3NPb,C3H8N,"PbBr3, Lead bromide",2021-12-07,,methanaminium lead bromide
349,Bis(cyclopropylammonium) lead bromide,Cyclopropylammonium lead bromide,(C3H5NH3)2PbBr4,(C3H5NH3)2,"PbBr4, Lead bromide",2021-12-07,,bis(cyclopropylaminium) lead bromide
350,Bis(cyclobutylammonium) lead bromide,Cyclobutylammonium lead bromide,(C4H7NH3)2PbBr4,(C4H7NH3)2,"PbBr4, Lead bromide",2021-12-07,,bis(cyclobutylaminium) lead bromide
351,Bis(cyclopentylammonium) lead bromide,Cyclopentylammonium lead bromide,(C5H9NH3)2PbBr4,(C5H9NH3)2,"PbBr4, Lead bromide",2021-12-07,,bis(cyclopentylaminium) lead bromide
352,Bis(cyclohexylammonium) lead bromide,Cyclohexylammonium lead bromide,(C6H11NH3)2PbBr4,(C6H11NH3)2,"PbBr4, Lead bromide",2021-12-07,,bis(cyclohexylaminium) lead bromide
