id,compound_name,group,formula,organic,inorganic,last_update,description,iupac
353,Tris(cycloheptylammonium) lead bromide,Cycloheptylammonium lead bromide,(C7H13NH3)3PbBr4,(C7H13NH3)3,"PbBr4, Lead bromide",2021-12-07,,tris(cycloheptylaminium) lead bromide
354,Cyclooctylammonium lead bromide,,(C8H15NH3)PbBr4,C8H15NH3,"PbBr4, Lead bromide",2021-12-07,,cyclooctylaminium lead bromide
355,Bis(cyclopropylammonium) lead chloride,Cyclopropylammonium lead chloride,(C3H5NH3)2PbCl4,(C3H5NH3)2,"PbCl4, Lead chloride",2021-12-07,,bis(cyclopropylaminium) lead chloride
356,Bis(cyclobutylammonium) lead chloride,Cyclobutylammonium lead chloride,(C4H7NH3)2PbCl4,(C4H7NH3)2,"PbCl4, Lead chloride",2021-12-07,,bis(cyclobutylaminium) lead chloride
357,Bis(cyclopentylammonium) lead chloride,Cyclopentylammonium lead chloride,(C5H9NH3)2PbCl4,(C5H9NH3)2,"PbCl4, Lead chloride",2021-12-07,,bis(cyclopentylaminium) lead chloride
358,Bis(cyclohexylammonium) lead chloride,Cyclohexylammonium lead chloride,(C6H11NH3)2PbCl4,(C6H11NH3)2,"PbCl4, Lead chloride",2021-12-07,,bis(cyclohexylaminium) lead chloride
359,Tris(cycloheptylammonium) lead chloride,Cycloheptylammonium lead chloride,(C7H13NH3)3PbCl4,(C7H13NH3)3,"PbCl4, Lead chloride",2021-12-07,,tris(cycloheptylaminium) lead chloride
360,Cyclooctylammonium lead chloride,,(C8H15NH3)PbCl4,(C8H15NH3),"PbCl4, Lead chloride",2021-12-07,,cyclooctylaminium lead chloride
361,N-(3-aminopropyl)imidazole lead bromide,"(API)PbBr4, N-(3-aminopropyl)imidazole lead bromide",(C3H4N2(CH2)3NH3)PbBr4,(C3H4N2(CH2)3NH3),"PbBr4, Lead bromide",2021-12-07,,N-(3-aminopropyl)imidazole lead bromide
362,alpha-methylammonium lead bromide,α-(MA)PbBr3,CH6NPbBr3,CH6N,"PbBr3, Lead bromide",2021-12-07,,alpha-methanaminium lead bromide
363,Bis(pentylammonium) methylammonium lead iodide,(PA)2(MA)Pb2I7,(CH3(CH2)4NH3)2(MA)Pb2I7,(CH3(CH2)4NH3)2(MA),"Pb2I7, Lead iodide",2021-12-07,,bis(pentylaminium) methanaminium lead iodide
364,Bis(pentylammonium) bis(methylammonium) lead iodide,(PA)2(MA)2Pb3I10,(CH3(CH2)4NH3)2(MA)2Pb3I10,(CH3(CH2)4NH3)2(MA)2,"Pb3I10, Lead iodide",2021-12-07,,bis(pentylaminium) bis(methanaminium) lead iodide
365,Bis(pentylammonium) tris(methylammonium) lead iodide,(PA)2(MA)3Pb4I13,(CH3(CH2)4NH3)2(MA)3Pb4I13,(CH3(CH2)4NH3)2(MA)3,"Pb4I13, Lead iodide",2021-12-07,,bis(pentylaminium) tris(methanaminium) lead iodide
366,Bis(pentylammonium) tetrakis(methylammonium) lead iodide,(PA)2(MA)4Pb5I16,(CH3(CH2)4NH3)2(MA)4Pb5I16,(CH3(CH2)4NH3)2(MA)4,"Pb5I16, Lead iodide",2021-12-07,,bis(pentylaminium) tetrakis(methanaminium) lead iodide
367,Bis(hexylammonium) methylammonium lead iodide,(HA)2(MA)Pb2I7,(CH3(CH2)5NH3)2(MA)Pb2I7,(CH3(CH2)5NH3)2(MA),"Pb2I7, Lead iodide",2021-12-07,,bis(hexylaminium) methanaminium lead iodide
368,Bis(hexylammonium) bis(methylammonium) lead iodide,(HA)2(MA)2Pb3I10,(CH3(CH2)5NH3)2(MA)2Pb3I10,(CH3(CH2)5NH3)2(MA)2,"Pb3I10, Lead iodide",2021-12-07,,bis(hexylaminium) bis(methanaminium) lead iodide
369,Bis(hexylammonium) tris(methylammonium) lead iodide,(HA)2(MA)3Pb4I13,(CH3(CH2)5NH3)2(MA)3Pb4I13,(CH3(CH2)5NH3)2(MA)3,"Pb4I13, Lead iodide",2021-12-07,,bis(hexylaminium) tris(methanaminium) lead iodide
370,Bis(pentylammonium) lead iodide,(PA)2PbI4,(CH3(CH2)4NH3)2PbI4,(CH3(CH2)4NH3)2,"PbI4, Lead iodide",2021-12-07,,bis(pentylaminium) lead iodide
371,Bis(hexylammonium) lead iodide,(HA)2PbI4,(CH3(CH2)5NH3)2PbI4,"(CH3(CH2)5NH3)2, (HA)2","PbI4, Lead iodide",2021-12-07,,bis(hexylaminium) lead iodide
372,Histammonium lead chloride,"(HIS)PbCl4(HA)PbCl4, Histammonium lead chloride",(C5H11N3)PbCl4,"(C5H11N3), HIS","PbCl4, Lead chloride",2021-12-07,,4-(2-ethanaminium)-1H-imidazol-3-ium lead chloride
373,A3Bi2I9,,"Cs3Bi2I9, MA3Bi2I9,","Cs+, MA+","Bi2I9, Bismuth iodide",2021-08-24,,
374,3-(aminomethyl)piperidinium formamidinium lead bromide,(3AMP)(FA)Pb2Br7,(C6N2H16)[HC(NH2)2]Pb2Br7,"(C6N2H16)[HC(NH2)2], (3AMP)(FA)","Pb2Br7, Lead bromide",2021-12-07,,3-(aminomethyl)piperidinium diaminomethanide lead bromide
375,Trimethylammonioethylammonium tin iodide,"(TMAEA)SnI4, ((CH3)3NCH2CH2NH3)SnI4",C5H16N2SnI4,"((CH3)3NCH2CH2NH3), TMAEA","SnI4, Tin iodide",2021-08-24,,
376,Ethylenediammonium oxalate lead iodide tetrahydrate,,[(H2en)7(C2O4)2](Pb4I18)·4H2O,C18H78N14O12,"Pb4I18, Lead iodide",2021-08-24,,
377,Hexafluorobenzen phenethylammonium tin iodide,"(PEA)2SnI4·(C6F6), (C6H5(CH2)2NH3)2SnI4·(C6F6), hexafluorobenzene-intercalated phenethylammonium tin iodide",C22H24N2F6SnI4,PEA; (C6F6),"SnI4, Tin iodide",2021-08-24,,
378,"Benzene 2,3,4,5,6-pentafluorophenethylammoniom tin iodide","(2,3,4,5,6-FPEA)2SnI4·(C6H6), (C6F5(CH2)2NH3)2SnI4·(C6H6), benzene-intercalated 2,3,4,5,6-pentafluorophenethylammoniom tin iodide",C22H20N2F10SnI4,"(C6F5(CH2)2NH3)2, (C6H6)","SnI4, Tin iodide",2021-12-07,,"benzene 2,3,4,5,6-pentafluorophenethanaminium tin iodide"
379,"2,3,4,5,6-pentafluorophenethylammoniom tin iodide","(2,3,4,5,6-FPEA)2SnI4, (C6F5(CH2)2NH3)2SnI4",C16H14N2F10SnI4,(C6F5(CH2)2NH3)2,"SnI4, Tin iodide",2021-12-07,,"2,3,4,5,6-pentafluorophenethanaminium tin iodide"
380,3-(aminomethyl)piperindinium methylammonium lead bromide,(3AMP)(MA)Pb2Br7,(C6N2H16)(CH3NH3)Pb2Br7,(C6N2H16)(CH3NH3),"Pb2Br7, Lead bromide",2021-12-07,,3-(methanaminium)piperindinium methanaminium lead bromide
381,4-(aminomethyl)piperindinium formamidinium lead bromide,(4AMP)(FA)Pb2Br7,(C6N2H16)[HC(NH2)2]Pb2Br7,(C6N2H16)[HC(NH2)2],"Pb2Br7, Lead bromide",2021-12-07,,4-(methanaminium)piperindinium diaminomethanide lead bromide
382,4-(aminomethyl)piperindinium methylammonium lead bromide,(4AMP)(MA)Pb2Br7,(C6N2H16)(CH3NH3)Pb2Br7,(C6N2H16)(CH3NH3),"Pb2Br7, Lead bromide",2021-12-07,,4-(methanaminium)piperindinium methanaminium lead bromide
383,Pyridiniumethylammonium lead iodide,(PyrEA)[PbI4],C7H12I4N2Pb,PyrEA,"PbI4, Lead iodide",2021-12-07,,1-(2-ethanaminium)-1H-pyridin-1-ium
384,Imidazoliumethylammonium lead iodide,(ImEA)[PbI4],C5H11I4N3Pb,ImEA,"PbI4, Lead iodide",2021-12-07,,1-(2-ethanaminium)-1H-imidazol-3-ium
385,Pyrazoliumethylammonium lead iodide,(PyrzEA)[Pb2I6],C20H48I20N12O4Pb6,PyrzEA,"Pb2I6, Lead iodide",2021-12-07,,1-(2-ethanaminium)-1H-pyrazol-2-ium
386,piperidiniumethylammonium lead iodide,(PipEA)[PbI4],C14H34I8N4Pb2,PipEA,"PbI4, Lead iodide",2021-12-07,,1-(2-ethanaminium)-1H-piperidin-1-ium
387,Ruddlesden-Popper,,(RNH3)2(A)n−1MX3n+1,RNH3,(A)n−1MX3n+1,2021-08-24,,
388,PEALI,Phenethylammonium lead iodide,(RNH3)2(A)n−1MX3n+1,(RNH3),(A)n−1MX3n+1,2021-08-24,,
389,NMABr,Naphthalenemethylammonium bromide,(NMAxPEA1−x)2PbBr4,(NMAxPEA1−x)2,PbBr4,2020-07-27,,
390,OITP,trihalide perovskites,MAPbX3,MA,PbX3,2020-07-27,,
391,Bis(butylammonium) formamidinium lead bromide,(BA)2(FA)Pb2Br7,(C4H9NH3)2(NH2CHNH2)Pb2Br7,(C4H9NH3)2(NH2CHNH2),"Pb2Br7, Lead bromide",2021-12-07,,bis(butylaminium) diaminomethanide lead bromide
392,Guanidinium hypophosphite,[GUA]Mn(H2POO)3,C2H24Mn2N6O12P6,GUA,Mn(H2POO)3,2021-12-07,,diaminomethanaminium hypophosphite
393,Formamidinium hypophosphite,[FA]Mn(H2POO)3,CH12MnN2O6P3,[FA],Mn(H2POO)3,2021-12-07,,diaminomethanide hypophosphite
394,Tris(4-methylpiperidinium) bismuth iodide,MP-Bi2I9,(C6H14N)3Bi2I9,(C6H14N)3,"Bi2I9, Bismuth iodide",2021-12-07,,tris(4-methylpiperidinium) bismuth iodide
395,Bis(methylammonium) copper bromide,MA2CuBr4,(CH3NH3)2CuCl2Br2,(CH3NH3)2,"CuCl2Br4, Copper chloride bromide",2021-12-07,,bis(methanaminium) copper bromide
396,methylammonium copper bromide chloride,MACuCl2Br2,(CH3NH3)2CuCl2Br2,(CH3NH3)2,"CuCl2Br2, Copper bromide chloride",2021-08-24,,
397,MA2CUCl2BR2,,(CH3NH3)2CuCl2Br2,(CH3NH3)2,"CuCl2Br2, Copper bromide chloride",2021-08-24,,
398,Bis(methylammonium) copper bromide chloride,MA2CuCl2Br2,(CH3NH3)2CuCl2Br2,"(CH3NH3)2, (MA)2","CuCl2Br2, Copper bromide chloride",2021-12-07,,bis(methanaminium) copper bromide chloride
399,Bis(methylammonium) copper bromide chloride,MA2CuCl0.5Br3.5,(CH3NH3)2CuCl0.5Br3.5,(CH3NH3)2,"CuCl0.5Br3.5, Copper chloride bromide",2021-12-07,,bis(methanaminium) copper bromide chloride
400,MA2CuCl4,,(CH3NH3)2CuCl4,(CH3NH3)2,"CuCl4, Copper chloride",2021-08-24,,
401,Bis(methylammonium) copper bromide chloride,MA2CuClBr3,(CH3NH3)2CuClBr3,(CH3NH3)2,"CuClBr3, Copper chloride bromide",2021-12-07,,bis(methanaminium) copper bromide chloride
402,Azetidinium methylammonium lead bromide,"Azetidinium lead bromide, Az0.4MA0.6PbBr3",C3H8Br3NPb,C3H8N,"PbBr3, Lead bromide",2021-12-07,,azetidinium methanaminium lead bromide
403,MA3Bi2I9,,CH3NH3Bi2I9,CH3NH3,"Bi2I9, Bismuth iodide",2021-08-24,,
404,Cs3Bi2I9,,CH3NH3Bi2I9,CH3NH3,"Bi2I9, Bismuth iodide",2021-08-24,,
405,S-1-(1-naphthyl)ethylammonium lead bromide,S-NEA2PbBr4,C24H28N2PbBr4,"S-NEA, C24H28N2","PbBr4, Lead bromide",2021-12-07,2D perovskite,S-1-(1-naphthyl)ethanaminium lead bromide
406,R-1-(1-naphthyl)ethylammonium lead bromide,R-NEA2PbBr4,C24H28N2PbBr4,R-NEA,"PbBr4, Lead bromide",2021-12-07,2D perovskite,R-1-(1-naphthyl)ethanaminium lead bromide
407,S-1-methyl benzylamine lead iodide,"S-MBA2PbI4, S-MBPI, (S)-α-methyl benzylamine lead iodide",C16H24N2PbI4,MBA,"PbI4, Lead iodide",2021-12-07,2D perovskite,S-1-methyl benzylaminium lead iodide
408,1-(1-naphthyl)ethylammonium lead bromide,"NEA2PbBr4, 1-1-NEA2PbBr4, racemic-NEA2PbBr4",C24H28N2PbBr4,"1-(1-naphthyl)ethylamine, NEA, racemic-NEA, racemic-1-(1-naphthyl)ethylamine","PbBr4, Lead bromide",2021-12-07,2D perovskite,1-(1-naphthyl)ethanaminium lead bromide
409,S-1-(1-naphthyl)ethylammonium lead iodide,"S-NEA2Pb2I6, S-C24H28N2Pb2I6, S-NPI",C24H28N2Pb2I6,"(S)-(−)-1-(1-naphthyl)ethylamine , S-NEA, S-C24H28N2","Pb2I6, Lead iodide",2021-12-07,1D Face-sharing metal halide hybrid,S-1-(1-naphthyl)ethanaminium lead iodide
410,Bis(cyclohexylammonium) lead bromide,(CHA)2PbBr4,(C6H14N)2PbBr4,(C6H14N)2,"PbBr4, Lead bromide",2021-12-07,,bis(cyclohexylaminium) lead bromide
411,Bis(cyclohexylammonium) lead iodide,(CHA)2PbI4,(C6H14N)2PbI4,(C6H14N)2,"PbI4, Lead iodide",2021-12-07,,bis(cyclohexylaminium) lead iodide
412,Bis(2-bromophenethyl)ammonium tin iodide,(2-BrPEA)2SnI4,(2-BrC6H4C2H4NH3)2SnI4,2-BrC6H4C2H4NH3,"SnI4, Tin iodide",2021-12-07,,bis(2-bromophenethanaminium) tin iodide
413,Bis(2-chlorophenethyl)ammonium tin iodide,(2-ClPEA)2SnI4,(2-ClC6H4C2H4NH3)2SnI4,2-ClC6H4C2H4NH3,"SnI4, Tin iodide",2021-12-07,,bis(2-chlorophenethanaminium) tin iodide
414,Bis(butylammonium) mehtylammonium lead bromide,(BA)2(MA)Pb2Br7,[CH3(CH2)3NH3]2(CH3NH3)Pb2Br7,[CH3(CH2)3NH3]2(CH3NH3),"Pb2Br7, Lead bromide",2021-12-07,,bis(butylaminium) methanaminium lead bromide
415,Bis(methylammonium) manganese chloride,MA2MnCl4,(CH3NH3)2MnCl4,(CH3NH3)2,"MnCl4, Manganese chloride",2021-12-07,,bis(methanaminium) manganese chloride
416,(3-pyrrolinium) cadmium bromide,(3-pyrrolinium)CdBr3,(C4H8N)CdBr3,(C4H8N),"CdBr3, Cadmium bromide",2021-12-07,,(3-pyrrolinium) cadmium bromide
417,Bis(S-)methylbenzylammonium tin iodide,(S-MBA)2SnI4,(C6H5CH(CH3)NH2)2SnI4,C6H5CH(CH3)NH2,"SnI4, Tin iodide",2021-12-07,,bis(S-)methylbenzylaminium tin iodide
418,Bis(R-)methylbenzylammonium tin iodide,(R-MBA)2SnI4,(C6H5CH(CH3)NH2)2SnI4,C6H5CH(CH3)NH2,"SnI4, Tin iodide",2022-01-06,,bis(R-)methylbenzylaminium tin iodide
419,Bis(rac-)methylbenzylammonium tin iodide,(rac-MBA)2SnI4,(C6H5CH(CH3)NH2)2SnI4,C6H5CH(CH3)NH2,"SnI4, Tin iodide",2022-01-06,,bis(rac-)methylbenzylaminium tin iodide
420,3-aminopyrrolidinium lead iodide,(3APr)PbI4,C4N2H12PbI4,C4N2H12,"PbI4, Lead iodide",2021-12-07,,3-aminopyrrolidinium lead iodide
421,3-aminopyrrolidinium lead chloride,(3APr)PbCl4,C4N2H12PbCl4,C4N2H12,"PbCl4, Lead chloride",2021-12-07,,3-aminopyrrolidinium lead chloride
422,3-aminopyrrolidinium lead bromide,(3APr)PbBr4,C4N2H12PbBr4,C4N2H12,"PbBr4, Lead bromide",2021-12-07,,3-aminopyrrolidinium lead bromide
423,Bis(phenethylammonium) tin bromide,(PEA)2SnBr4,(C6H5CH2CH2NH3)2SnBr4,C6H5CH2CH2NH3,"SnBr4, Tin bromide",2021-12-07,,bis(phenethylaminium) tin bromide
424,"2,3,4,5,6-pentafluorophenethylammonium 2-naphthyleneethylammonium tin iodide",(5FPEA·NEA)SnI4,C20H21N2F5SnI4,C20H21N2F5,"SnI4, Tin iodide",2021-08-24,,
425,Bis(phenethylammonium) copper chloride,CuCl4(PEA)2,CuCl4(C6H5CH2CH2NH3)2,PEA,"CuCl4, Copper chloride",2021-12-07,,bis(phenethylaminium) copper chloride
426,(PPA)2(MA0.5FA0.5)Pb2I7,,C19H31I7N3Pb2I7,(PPA)2(MA0.5FA0.5),"Pb2I7, Lead iodide",2021-08-24,(PPA) = 3-phenyl-2-propenammonium,
427,(PPA)2(MA0.5FA0.5)Pb3I10,,C20H40I10N4Pb3I10,(PPA)2(MA0.5FA0.5),"Pb3I10, Lead iodide",2021-08-24,(PPA) = 3-phenyl-2-propenammonium,
428,Bis(butylammonium) methylammonium lead iodide,(BA)2(MA)Pb2I7,(BA)2(MA)Pb2I7,(BA)2(MA),"Pb2I7, Lead iodide",2022-01-20,,bis(butylaminium) methanaminium lead iodide
429,Bis(butylammonium) dimethylammonium lead iodide,(BA)2(DMA)Pb2I7,(BA)2(DMA)Pb2I7,(BA)2(DMA),"Pb2I7, Lead iodide",2022-01-18,,bis(butylaminium) dimethanaminium lead iodide
430,Bis(butylammonium) guanidinium lead iodide,(BA)2(GA)Pb2I7,(BA)2(GA)Pb2I7,(BA)2(GA),"Pb2I7, Lead iodide",2021-12-07,,bis(butylaminium) diaminomethanaminium lead iodide
431,"N, N′-Dimethylpyrazinium lead bromide",(dmpz)[Pb2Br6],C6H10N2Pb2Br6,"dmpz, C6H10N2","Pb2Br6, Lead bromide",2021-12-07,"dmpz = N, N’-Dimethylpyrazinium","N,N′-dimethylpyrazinium lead bromide"
432,N-Hydro-N′-methylpyrazinium lead bromide iodide,(Hmpz)[Pb2Br4.5I1.5],C5H8N2Pb2Br4.5I1.5,Hmpz,"Pb2Br4.5I1.5, Lead bromide iodide",2021-12-07,Hmpz = N-Hydro-N’-methylpyrazinium,N-hydro-N′-methylpyrazinium lead bromide iodide
433,N-Hydro-N′-ethylpyrazinium lead bromide,(Hepz)[Pb2Br6],C6H10N2Pb2Br6,Hepz,"Pb2Br6, Lead bromide",2021-12-07,Hepz = N-Hydro-N’-ethylpyrazinium,N-hydro-N′-ethylpyrazinium lead bromide
434,N-Hydro-N′-isopropylpyrazinium lead bromide,(Hppz)[Pb2Br6],C7H12N2Pb2Br6,Hppz,"Pb2Br6, Lead bromide",2021-12-07,Hppz = N-Hydro-N’-isopropylpyrazinium,N-hydro-N′-isopropylpyrazinium lead bromide
435,"N,N′-Dihydro-3-amidinopyridinium lead bromide",(H2apy)[Pb2Br6],C6H9N3Pb2Br6,H2apy,"Pb2Br6, Lead bromide",2021-12-07,"H2apy = N,N’-Dihydro-3-amidinopyridinium","N,N′-dihydro-3-amidinopyridinium lead bromide"
436,"N,N′-Dihydro-1,3-propanediammonium lead bromide",(H2dap)[Pb2Br6],C3H12N2Pb2Br6,H2dap,"Pb2Br6, Lead bromide",2021-12-07,"H2dap = N,N’-Dihydro-1,3-propanediammonium","N,N′-dihydro-1,3-propanediammonium lead bromide"
437,"N, N′-Dimethylpyrazinium lead iodide",(dmpz)[Pb2I6],C6H10N2Pb2I6,dmpz,"Pb2I6, Lead iodide",2021-12-07,"dmpz = N, N’-Dimethylpyrazinium","N, N′-dimethylpyrazinium lead iodide"
438,"thieno[3,2-b]thiophene",TbT,C6H4S2,C6H4,S2,2021-08-24,,
439,Bis(butylammonium) methylammonium lead iodide,(BA)2(MA)PbI,(BA)2(MA)n−1PbnI3n+1,(BA)2(MA),"PbI, Lead iodide",2022-01-20,,bis(butylaminium) methanaminium lead iodide
440,Acetylacetonate methylammonium iodide gallium,GaAA3-MAI,C16H28GaINO6,C16H28,GaINO6,2021-12-07,,4-oxopent-2-en-2-olate methanaminium gallium iodide
441,Acetylacetonate gallium,GaAA3,C15H21GaO6,C15H21,GaO6,2021-12-07,,4-oxopent-2-en-2-olate gallium
444,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,(DAO)Sn2I6,"DAO = 1,8-octyldiammonium","Sn2I6, Tin iodide",2021-12-07,,"1,8-octyldiaminium tin iodide"
445,Bis(1-butyl-1-methyl-piperidinium) lead bromide,Bmpip2PbBr4,C20H44Br4N2Pb,Bmpip (1-butyl-1-methyl-piperidinium),"PbBr4, Lead bromide",2021-12-07,,bis(N-butyl-N-methyl-piperidinium) lead bromide
446,Bis(1-butyl-1-methyl-piperidinium) tin bromide,Bmpip2SnBr4,C20H44Br4N2Sn,Bmpip (1-butyl-1-methyl-piperidinium),"SnBr4, Tin bromide",2021-12-07,,bis(N-butyl-N-methyl-piperidinium) tin bromide
447,Bis(1-butyl-1-methyl-piperidinium) germanium bromide,Bmpip2GeBr4,C20H44Br4GeN2,Bmpip (1-butyl-1-methyl-piperidinium),"GeBr4, Germanium bromide",2021-12-07,,bis(N-butyl-N-methyl-piperidinium) germanium bromide
448,Bis(1-butyl-1-methyl-piperidinium) tin iodide,Bmpip2SnI4,C20H44I4N2Sn,Bmpip (1-butyl-1-methyl-piperidinium),"SnI4, Tin iodide",2021-12-07,,bis(N-butyl-N-methyl-piperidinium) tin iodide
449,Trimethyl(fluoromethyl)phosphonium cadmium bromide chloride,,[(CH3)3PCH2F]CdCl2Br,[(CH3)3PCH2F],"CdCl2Br, Cadmium bromide chloride",2021-08-24,,
450,CaSnS3,,CaSnS3,,SnS3,2021-08-24,,
452,Propylammonium iodide,C3AI,CH3(CH2)2NH3I,CH3(CH2)2NH3,"I, iodide",2021-12-07,,propylaminium iodide
453,"Bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead chloride",(S)-1-(1-naphthyl)ethy-lamineH)2[Pb4Cl10] • 2DMF,C30H42Cl10O2Pb4,(S)-1-(1-naphthyl)ethy-lamineH)2,"Pb4Cl10, Lead chloride",2021-12-07,,"bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead chloride"
454,"Bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead chloride",(R)-1-(1-naphthyl)ethy-lamineH)2[Pb4Cl10] • 2DMF,C30H42Cl10O2Pb4,(R)-1-(1-naphthyl)ethy-lamineH)2,"Pb4Cl10, Lead chloride",2021-12-07,,"bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead chloride"
455,Bis(phenethylammonium) tris(formamidinium) lead bromide,(PEA)2(FA)3Pb4Br13,(PEA)2(FA)3Pb4Br13,(PEA)2(FA)3,"Pb4Br13, Lead bromide",2021-12-07,,bis(phenethylaminium) tris(diaminomethanide) lead bromide
456,[S-(−)-1-(1-naphthyl)ethylammonium]2PbBr4,S-NPB,S-[C10H7CH(CH3)NH3]2PbBr4,[S-(−)-1-(1-naphthyl)ethylammonium,"PbBr4, Lead bromide",2021-08-24,Chiral 2D bromide perovskite that forms glass on quenching,
457,[(NDIC2)2Pb5I14(DMF)2]·4DMF,,C13.5H19.5I3.5N3.5O3.50Pb1.25,C13.50H19.5,I3.5N3.5O3.50Pb1.25,2021-08-24,,"2,7-bis(2-ammoniumethyl)benzo[lmn][3,8]phenanthroline-1,3,6,8(2H,7H)-tetraone iodide"
458,R-4-Cl-MBA2PbBr4,"(R)-4-chloro-α-methylbenzylammonium lead bromide, (R)-1-(4-chlorophenyl)ethylammonium lead bromide",(C8H11ClN)2PbBr4,4-Cl-C6H4CH(CH3)NH3,"PbBr4, Lead bromide",2021-08-24,2D chiral perovskite,None
459,S-1-Me-HA2PbI4,(S)-1-methylhexylammonium lead iodide,(C7H18N)2PbI4,"S-1-Me-HA, (S)-(+)-1-methylhexylammonium, (S)-(+)-2-Aminoheptane","PbI4, Lead iodide",2021-08-24,2D chiral perovskite,None
460,S-2-Me-BuA2PbBr4,(S)-2-methylbutylammonium lead bromide,(C5H14N)PbBr4,"S-2-Me-BuA, (S)-(−)-2-methylbutylammonium","PbBr4, Lead bromide",2021-08-24,2D chiral perovskite,None
461,S-4-NO2-MBA2PbBr4.H2O,"(S)-α-Methyl-4-nitrobenzylammonium lead bromide, (S)-4-nitro-α-methylbenzylammonium lead bromide",(C8H11N2O2)2PbBr4.H2O,(S)-4-nitro-α-methylbenzylamine,"PbBr4, Lead bromide",2021-08-24,2D chiral perovskite,None
462,S-4-NH3-MBAPbI4,(S)-4-ammonio-α-methylbenzylammonium lead iodide,(C8H14N2)PbI4,"(C8H14N2), (S)-4-ammonio-α-methylbenzylammonium","PbI4, Lead iodide",2021-08-24,2D chiral perovskite,None
463,Bis(phenylethylammonium) lead iodide bromide,(PEA)2Pb(IxBr1-x)4,(C6H5C2H4NH3)2Pb(IxBr1-x)4,C16H24N2,Pb(IxBr1-x)4,2021-10-26,mixed halide Br and I with organic molecule PEA 2D perovskite,bis(2-phenylethan-1-aminium) lead iodide bromide
464,(BA)2PbI4,,(CH3(CH2)3NH3)2PbI4,(CH3(CH2)3NH3)2,PbI4,2022-01-19,,*
465,(BA)2PbCl4,,C4H12N2PbCl4,C4H12N,2PbCl4,2022-01-19,,*
466,(BA)2PbBr4,,C4H12N2PbBr4,C4H12N2,PbBr4,2022-01-19,,*
467,Phenethylammonium silver indium bromide,(PEA)4AgInBr8,(C6H5(CH2)2NH3)4AgInBr8,(C6H5(CH2)2NH3)4,AgInBr8,2022-01-24,,tetra(1-phenyl-2-aminoethane) silver indium octabromide
468,(MA)2KBiCl6,,CH6N+2KBiCl6,CH6NH3+,KBiCl6,2022-01-20,,*
469,(MA)2TIBiBr6,,([CH3NH3]+)2TIBiBr6,([CH3NH3]+)2,TIBiBr6,2022-01-20,,*
470,(MA)2AgBiBr6,,(CH3NH3)2AgBiBr6,(CH3NH3)2,AgBiBr6,2022-01-20,,*
471,i-butylammonium silver indium bromide,(i-BA)4AgInBr8,(CH(CH3)2CH2NH3)4AgInBr8,(CH(CH3)2CH2NH3)4,AgInBr8,2022-01-24,,tetra(1-amino-2-methylpropane) silver indium octabromide
472,Cesium silver indium chloride,-,Cs2AgInCl6,-,Cs2AgInCl6,2022-01-31,,Dicesium silver indium hexachloride
473,Bi-doped phenylethyammonium lead iodide,"Bi-doped PEA lead iodide, Bi-doped PEA PbI",(C6H5C2H4NH3)PbI4,C6H5C2H4NH3,PbI4,2022-02-15,,Bi-doped 1-phenyl-2-aminoethane lead tetraiodide
